Name	Start	Duration	Time Format	Type	Description
נשארתי	1:13.898	0:00.000	decimal	Cue	
לבד	1:14.562	0:00.000	decimal	Cue	
בהפסקות	1:15.147	0:00.000	decimal	Cue	
בכלל לא	1:15.696	0:00.000	decimal	Cue	
היה לי	1:16.074	0:00.000	decimal	Cue	
עם	1:16.280	0:00.000	decimal	Cue	
מ--מי להיות	1:16.625	0:00.000	decimal	Cue	
הייתי	1:17.219	0:00.000	decimal	Cue	
בכלל	1:17.545	0:00.000	decimal	Cue	
השומר	1:17.811	0:00.000	decimal	Cue	
כאילו	1:18.535	0:00.000	decimal	Cue	
הוא היה	1:19.351	0:00.000	decimal	Cue	
ממש נחמד	1:19.628	0:00.000	decimal	Cue	
ופשוט	1:20.586	0:00.000	decimal	Cue	
כל	1:21.442	0:00.000	decimal	Cue	
הזמן	1:21.781	0:00.000	decimal	Cue	
שדיברתי	1:22.082	0:00.000	decimal	Cue	
פשוט	1:22.887	0:00.000	decimal	Cue	
התחלתי	1:23.147	0:00.000	decimal	Cue	
ל-	1:23.601	0:00.000	decimal	Cue	
ל-	1:24.373	0:00.000	decimal	Cue	
להיתקע	1:25.006	0:00.000	decimal	Cue	
כל-	1:26.054	0:00.000	decimal	Cue	
כל	1:26.754	0:00.000	decimal	Cue	
מ----	1:27.043	0:00.000	decimal	Cue	
-משפט	1:28.414	0:00.000	decimal	Cue	
Marker 152	1:29.100	0:00.000	decimal	Cue	
